序号,温度测量值(°C),湿度测量值(%RH),噪声测量值(dB),大气压测量值(KPa),当前计量周期内跑轮圈数测量值,获取时间
19,9.2,61.6,189.7,1324.9,5946.6,2025-07-24 08:31:00
18,-69.1,17.3,33.6,813.6,13607.2,2025-07-24 08:30:56
17,43.3,93.2,238.7,2114.5,12565.8,2025-07-24 08:30:51
16,-85.9,93.9,190.1,2275.6,8501.1,2025-07-24 08:30:46
15,9.2,61.6,189.7,1324.9,5946.6,2025-07-24 08:29:42
14,-85.9,93.9,190.1,2275.6,8501.1,2025-07-24 08:29:38
13,43.3,93.2,238.7,2114.5,12565.8,2025-07-24 08:29:34
12,-69.1,17.3,33.6,813.6,13607.2,2025-07-24 08:18:33
11,-85.9,93.9,190.1,2275.6,8501.1,2025-07-24 08:18:29
10,-119.5,31.1,172.3,1050.1,5153.7,2025-07-24 08:18:25
